Disability,Region,Population,age/ave_affected,age affection
Cognitive Disability,National Capital Region (NCR),4960933,Age: 5-19,70.0
Communication Disability,National Capital Region (NCR),4960933,Age: 5-19,92.0
Hearing Disability,National Capital Region (NCR),4960933,Age: 5-19,49.0
Mobility Disability,National Capital Region (NCR),4960933,Age: 5-19,49.0
Self-Care Disability,National Capital Region (NCR),4960933,Age: 5-19,74.0
Visual Disability,National Capital Region (NCR),4960933,Age: 5-19,348.0
Cognitive Disability,National Capital Region (NCR),2940822,Age: 5-19,48.0
Communication Disability,National Capital Region (NCR),2940822,Age: 5-19,77.0
Hearing Disability,National Capital Region (NCR),2940822,Age: 5-19,53.0
Mobility Disability,National Capital Region (NCR),2940822,Age: 5-19,47.0
Self-Care Disability,National Capital Region (NCR),2940822,Age: 5-19,64.0
Visual Disability,National Capital Region (NCR),2940822,Age: 5-19,429.0
Cognitive Disability,REGION XI (DAVAO REGION),774102,Age: 5-19,116.0
Communication Disability,REGION XI (DAVAO REGION),774102,Age: 5-19,145.0
Hearing Disability,REGION XI (DAVAO REGION),774102,Age: 5-19,92.0
Mobility Disability,REGION XI (DAVAO REGION),774102,Age: 5-19,91.0
Self-Care Disability,REGION XI (DAVAO REGION),774102,Age: 5-19,116.0
Visual Disability,REGION XI (DAVAO REGION),774102,Age: 5-19,154.0
Cognitive Disability,REGION XI (DAVAO REGION),1056457,Age: 5-19,89.0
Communication Disability,REGION XI (DAVAO REGION),1056457,Age: 5-19,121.0
Hearing Disability,REGION XI (DAVAO REGION),1056457,Age: 5-19,70.0
Mobility Disability,REGION XI (DAVAO REGION),1056457,Age: 5-19,69.0
Self-Care Disability,REGION XI (DAVAO REGION),1056457,Age: 5-19,113.0
Visual Disability,REGION XI (DAVAO REGION),1056457,Age: 5-19,156.0
Cognitive Disability,REGION XI (DAVAO REGION),2520852,Age: 5-19,70.0
Communication Disability,REGION XI (DAVAO REGION),2520852,Age: 5-19,110.0
Hearing Disability,REGION XI (DAVAO REGION),2520852,Age: 5-19,50.0
Mobility Disability,REGION XI (DAVAO REGION),2520852,Age: 5-19,54.0
Self-Care Disability,REGION XI (DAVAO REGION),2520852,Age: 5-19,94.0
Visual Disability,REGION XI (DAVAO REGION),2520852,Age: 5-19,181.0
Cognitive Disability,REGION XI (DAVAO REGION),338925,Age: 5-19,92.0
Communication Disability,REGION XI (DAVAO REGION),338925,Age: 5-19,126.0
Hearing Disability,REGION XI (DAVAO REGION),338925,Age: 5-19,68.0
Mobility Disability,REGION XI (DAVAO REGION),338925,Age: 5-19,76.0
Self-Care Disability,REGION XI (DAVAO REGION),338925,Age: 5-19,104.0
Visual Disability,REGION XI (DAVAO REGION),338925,Age: 5-19,92.0
Cognitive Disability,REGION XI (DAVAO REGION),600531,Age: 5-19,76.0
Communication Disability,REGION XI (DAVAO REGION),600531,Age: 5-19,99.0
Hearing Disability,REGION XI (DAVAO REGION),600531,Age: 5-19,61.0
Mobility Disability,REGION XI (DAVAO REGION),600531,Age: 5-19,60.0
Self-Care Disability,REGION XI (DAVAO REGION),600531,Age: 5-19,89.0
Visual Disability,REGION XI (DAVAO REGION),600531,Age: 5-19,106.0
Cognitive Disability,REGION XII (SOCCSKSARGEN),1527149,Age: 5-19,81.0
Communication Disability,REGION XII (SOCCSKSARGEN),1527149,Age: 5-19,106.0
Hearing Disability,REGION XII (SOCCSKSARGEN),1527149,Age: 5-19,51.0
Mobility Disability,REGION XII (SOCCSKSARGEN),1527149,Age: 5-19,65.0
Self-Care Disability,REGION XII (SOCCSKSARGEN),1527149,Age: 5-19,114.0
Visual Disability,REGION XII (SOCCSKSARGEN),1527149,Age: 5-19,84.0
Cognitive Disability,REGION XII (SOCCSKSARGEN),583791,Age: 5-19,573.0
Communication Disability,REGION XII (SOCCSKSARGEN),583791,Age: 5-19,796.0
Hearing Disability,REGION XII (SOCCSKSARGEN),583791,Age: 5-19,459.0
Mobility Disability,REGION XII (SOCCSKSARGEN),583791,Age: 5-19,458.0
Self-Care Disability,REGION XII (SOCCSKSARGEN),583791,Age: 5-19,647.0
Visual Disability,REGION XII (SOCCSKSARGEN),583791,Age: 5-19,736.0
Cognitive Disability,REGION XII (SOCCSKSARGEN),1644256,Age: 5-19,84.0
Communication Disability,REGION XII (SOCCSKSARGEN),1644256,Age: 5-19,101.0
Hearing Disability,REGION XII (SOCCSKSARGEN),1644256,Age: 5-19,60.0
Mobility Disability,REGION XII (SOCCSKSARGEN),1644256,Age: 5-19,65.0
Self-Care Disability,REGION XII (SOCCSKSARGEN),1644256,Age: 5-19,111.0
Visual Disability,REGION XII (SOCCSKSARGEN),1644256,Age: 5-19,161.0
Cognitive Disability,REGION XII (SOCCSKSARGEN),855241,Age: 5-19,72.0
Communication Disability,REGION XII (SOCCSKSARGEN),855241,Age: 5-19,95.0
Hearing Disability,REGION XII (SOCCSKSARGEN),855241,Age: 5-19,51.0
Mobility Disability,REGION XII (SOCCSKSARGEN),855241,Age: 5-19,61.0
Self-Care Disability,REGION XII (SOCCSKSARGEN),855241,Age: 5-19,114.0
Visual Disability,REGION XII (SOCCSKSARGEN),855241,Age: 5-19,68.0
Cognitive Disability,Region I (Ilocos Region),613421,Age: 5-19,49.0
Communication Disability,Region I (Ilocos Region),613421,Age: 5-19,84.0
Hearing Disability,Region I (Ilocos Region),613421,Age: 5-19,46.0
Mobility Disability,Region I (Ilocos Region),613421,Age: 5-19,58.0
Self-Care Disability,Region I (Ilocos Region),613421,Age: 5-19,73.0
Visual Disability,Region I (Ilocos Region),613421,Age: 5-19,102.0
Cognitive Disability,Region I (Ilocos Region),715810,Age: 5-19,56.0
Communication Disability,Region I (Ilocos Region),715810,Age: 5-19,85.0
Hearing Disability,Region I (Ilocos Region),715810,Age: 5-19,57.0
Mobility Disability,Region I (Ilocos Region),715810,Age: 5-19,65.0
Self-Care Disability,Region I (Ilocos Region),715810,Age: 5-19,70.0
Visual Disability,Region I (Ilocos Region),715810,Age: 5-19,155.0
Cognitive Disability,Region I (Ilocos Region),828194,Age: 5-19,58.0
Communication Disability,Region I (Ilocos Region),828194,Age: 5-19,102.0
Hearing Disability,Region I (Ilocos Region),828194,Age: 5-19,62.0
Mobility Disability,Region I (Ilocos Region),828194,Age: 5-19,66.0
Self-Care Disability,Region I (Ilocos Region),828194,Age: 5-19,79.0
Visual Disability,Region I (Ilocos Region),828194,Age: 5-19,156.0
Cognitive Disability,Region I (Ilocos Region),3113382,Age: 5-19,54.0
Communication Disability,Region I (Ilocos Region),3113382,Age: 5-19,103.0
Hearing Disability,Region I (Ilocos Region),3113382,Age: 5-19,57.0
Mobility Disability,Region I (Ilocos Region),3113382,Age: 5-19,58.0
Self-Care Disability,Region I (Ilocos Region),3113382,Age: 5-19,78.0
Visual Disability,Region I (Ilocos Region),3113382,Age: 5-19,152.0
Cognitive Disability,Region II (Cagayan Valley),17874,Age: 5-19,84.0
Communication Disability,Region II (Cagayan Valley),17874,Age: 5-19,224.0
Hearing Disability,Region II (Cagayan Valley),17874,Age: 5-19,118.0
Mobility Disability,Region II (Cagayan Valley),17874,Age: 5-19,90.0
Self-Care Disability,Region II (Cagayan Valley),17874,Age: 5-19,118.0
Visual Disability,Region II (Cagayan Valley),17874,Age: 5-19,185.0
Cognitive Disability,Region II (Cagayan Valley),1273322,Age: 5-19,66.0
Communication Disability,Region II (Cagayan Valley),1273322,Age: 5-19,101.0
Hearing Disability,Region II (Cagayan Valley),1273322,Age: 5-19,69.0
