Disability,Region,Status,RegCode_Old,Province,ProvCode_Old,Household Population 5 Years Old and Over with Functional Difficulty,Population,Person affected by disability per 100k,scale affected
Cognitive Disability,REGION XII (SOCCSKSARGEN),Mild,PH120000000,COTABATO (NORTH COTABATO),PH124700000,16672,1527149,1092.0,3.0382226383687185
Cognitive Disability,REGION XII (SOCCSKSARGEN),Mild,PH120000000,SARANGANI,PH128000000,52909,583791,9064.0,3.9573198968553407
Cognitive Disability,REGION XII (SOCCSKSARGEN),Mild,PH120000000,SOUTH COTABATO,PH126300000,17759,1644256,1081.0,3.03382569395331
Cognitive Disability,REGION XII (SOCCSKSARGEN),Mild,PH120000000,SULTAN KUDARAT,PH126500000,14650,855241,1713.0,3.2337573629655103
Cognitive Disability,REGION XII (SOCCSKSARGEN),Moderate,PH120000000,COTABATO (NORTH COTABATO),PH124700000,2176,1527149,143.0,2.155336037465062
Cognitive Disability,REGION XII (SOCCSKSARGEN),Moderate,PH120000000,SARANGANI,PH128000000,6330,583791,1085.0,3.0354297381845483
Cognitive Disability,REGION XII (SOCCSKSARGEN),Moderate,PH120000000,SOUTH COTABATO,PH126300000,2378,1644256,145.0,2.161368002234975
Cognitive Disability,REGION XII (SOCCSKSARGEN),Moderate,PH120000000,SULTAN KUDARAT,PH126500000,1157,855241,136.0,2.1335389083702174
Cognitive Disability,REGION XII (SOCCSKSARGEN),Severe,PH120000000,COTABATO (NORTH COTABATO),PH124700000,714,1527149,47.0,1.6720978579357175
Cognitive Disability,REGION XII (SOCCSKSARGEN),Severe,PH120000000,SARANGANI,PH128000000,1989,583791,341.0,2.5327543789924976
Cognitive Disability,REGION XII (SOCCSKSARGEN),Severe,PH120000000,SOUTH COTABATO,PH126300000,888,1644256,55.0,1.7403626894942439
Cognitive Disability,REGION XII (SOCCSKSARGEN),Severe,PH120000000,SULTAN KUDARAT,PH126500000,269,855241,32.0,1.505149978319906
Cognitive Disability,Region I (Ilocos Region),Mild,PH010000000,ILOCOS NORTE,PH012800000,6564,613421,1071.0,3.029789470831856
Cognitive Disability,Region I (Ilocos Region),Mild,PH010000000,ILOCOS SUR,PH012900000,9796,715810,1369.0,3.13640344813399
Cognitive Disability,Region I (Ilocos Region),Mild,PH010000000,LA UNION,PH013300000,9086,828194,1098.0,3.040602340114073
Cognitive Disability,Region I (Ilocos Region),Mild,PH010000000,PANGASINAN,PH015500000,31175,3113382,1002.0,3.0008677215312267
Cognitive Disability,Region I (Ilocos Region),Moderate,PH010000000,ILOCOS NORTE,PH012800000,1109,613421,181.0,2.2576785748691846
Cognitive Disability,Region I (Ilocos Region),Moderate,PH010000000,ILOCOS SUR,PH012900000,1568,715810,220.0,2.342422680822206
Cognitive Disability,Region I (Ilocos Region),Moderate,PH010000000,LA UNION,PH013300000,1545,828194,187.0,2.271841606536499
Cognitive Disability,Region I (Ilocos Region),Moderate,PH010000000,PANGASINAN,PH015500000,4781,3113382,154.0,2.187520720836463
Cognitive Disability,Region I (Ilocos Region),Severe,PH010000000,ILOCOS NORTE,PH012800000,412,613421,68.0,1.8325089127062364
Cognitive Disability,Region I (Ilocos Region),Severe,PH010000000,ILOCOS SUR,PH012900000,532,715810,75.0,1.8750612633917
Cognitive Disability,Region I (Ilocos Region),Severe,PH010000000,LA UNION,PH013300000,644,828194,78.0,1.8920946026904804
Cognitive Disability,Region I (Ilocos Region),Severe,PH010000000,PANGASINAN,PH015500000,1806,3113382,59.0,1.7708520116421442
Cognitive Disability,Region II (Cagayan Valley),Mild,PH020000000,BATANES,PH020900000,204,17874,1142.0,3.0576661039098294
Cognitive Disability,Region II (Cagayan Valley),Mild,PH020000000,CAGAYAN,PH021500000,18052,1273322,1418.0,3.151676230847048
Cognitive Disability,Region II (Cagayan Valley),Mild,PH020000000,ISABELA,PH023100000,24111,1685739,1431.0,3.1556396337597765
Cognitive Disability,Region II (Cagayan Valley),Mild,PH020000000,NUEVA VIZCAYA,PH025000000,7214,482894,1494.0,3.1743505974793798
