Disability,Region,Population,age/ave_affected,age affection
Self-Care Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 35–54,6008
Visual Disability,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),4183315,Age: 35–54,43105
Cognitive Disability,Cordillera Administrative Region (CAR),1807739,Age: 35–54,6404
Communication Disability,Cordillera Administrative Region (CAR),1807739,Age: 35–54,2037
Hearing Disability,Cordillera Administrative Region (CAR),1807739,Age: 35–54,6113
Mobility Disability,Cordillera Administrative Region (CAR),1807739,Age: 35–54,6628
Self-Care Disability,Cordillera Administrative Region (CAR),1807739,Age: 35–54,1691
Visual Disability,Cordillera Administrative Region (CAR),1807739,Age: 35–54,28590
Cognitive Disability,MIMAROPA Region,3174856,Age: 35–54,16150
Communication Disability,MIMAROPA Region,3174856,Age: 35–54,3901
Hearing Disability,MIMAROPA Region,3174856,Age: 35–54,12624
Mobility Disability,MIMAROPA Region,3174856,Age: 35–54,12769
Self-Care Disability,MIMAROPA Region,3174856,Age: 35–54,2788
Visual Disability,MIMAROPA Region,3174856,Age: 35–54,97288
Cognitive Disability,National Capital Region (NCR),13804656,Age: 35–54,17369
Communication Disability,National Capital Region (NCR),13804656,Age: 35–54,12102
Hearing Disability,National Capital Region (NCR),13804656,Age: 35–54,24029
Mobility Disability,National Capital Region (NCR),13804656,Age: 35–54,27711
Self-Care Disability,National Capital Region (NCR),13804656,Age: 35–54,8859
Visual Disability,National Capital Region (NCR),13804656,Age: 35–54,261641
Cognitive Disability,REGION XI (DAVAO REGION),5290867,Age: 35–54,19858
Communication Disability,REGION XI (DAVAO REGION),5290867,Age: 35–54,5566
Hearing Disability,REGION XI (DAVAO REGION),5290867,Age: 35–54,12626
Mobility Disability,REGION XI (DAVAO REGION),5290867,Age: 35–54,15061
Self-Care Disability,REGION XI (DAVAO REGION),5290867,Age: 35–54,3989
Visual Disability,REGION XI (DAVAO REGION),5290867,Age: 35–54,101727
Cognitive Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 35–54,29797
Communication Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 35–54,7432
Hearing Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 35–54,18482
Mobility Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 35–54,21249
Self-Care Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 35–54,5704
Visual Disability,REGION XII (SOCCSKSARGEN),4919935,Age: 35–54,125353
Cognitive Disability,Region I (Ilocos Region),5270807,Age: 35–54,10710
Communication Disability,Region I (Ilocos Region),5270807,Age: 35–54,5861
Hearing Disability,Region I (Ilocos Region),5270807,Age: 35–54,14558
Mobility Disability,Region I (Ilocos Region),5270807,Age: 35–54,15265
Self-Care Disability,Region I (Ilocos Region),5270807,Age: 35–54,3987
Visual Disability,Region I (Ilocos Region),5270807,Age: 35–54,114978
