Region,Province,Disability,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+,Household Population 5 Years Old and Over with Functional Difficulty,Population
Region X (Northern Mindanao),MISAMIS ORIENTAL,Self-Care Disability,104.0,61.0,74.0,354.0,9980,1692002
Region X (Northern Mindanao),MISAMIS ORIENTAL,Visual Disability,134.0,332.0,1541.0,2885.0,82739,1692002
Region XIII (Caraga),AGUSAN DEL NORTE,Cognitive Disability,98.0,158.0,331.0,859.0,10670,738775
Region XIII (Caraga),AGUSAN DEL NORTE,Communication Disability,140.0,116.0,103.0,255.0,4514,738775
Region XIII (Caraga),AGUSAN DEL NORTE,Hearing Disability,75.0,104.0,233.0,1156.0,11571,738775
Region XIII (Caraga),AGUSAN DEL NORTE,Mobility Disability,78.0,83.0,257.0,1088.0,11112,738775
Region XIII (Caraga),AGUSAN DEL NORTE,Self-Care Disability,122.0,63.0,77.0,381.0,4731,738775
Region XIII (Caraga),AGUSAN DEL NORTE,Visual Disability,146.0,332.0,1513.0,2815.0,35496,738775
Region XIII (Caraga),AGUSAN DEL SUR,Cognitive Disability,129.0,217.0,539.0,1095.0,14539,734982
Region XIII (Caraga),AGUSAN DEL SUR,Communication Disability,178.0,123.0,110.0,245.0,4811,734982
Region XIII (Caraga),AGUSAN DEL SUR,Hearing Disability,110.0,129.0,331.0,1314.0,13828,734982
Region XIII (Caraga),AGUSAN DEL SUR,Mobility Disability,96.0,101.0,313.0,1144.0,12144,734982
Region XIII (Caraga),AGUSAN DEL SUR,Self-Care Disability,125.0,65.0,75.0,321.0,4289,734982
Region XIII (Caraga),AGUSAN DEL SUR,Visual Disability,124.0,282.0,1683.0,2951.0,37034,734982
Region XIII (Caraga),DINAGAT ISLANDS,Cognitive Disability,89.0,186.0,418.0,1252.0,2539,130671
Region XIII (Caraga),DINAGAT ISLANDS,Communication Disability,118.0,108.0,134.0,336.0,906,130671
Region XIII (Caraga),DINAGAT ISLANDS,Hearing Disability,72.0,114.0,284.0,1805.0,2969,130671
Region XIII (Caraga),DINAGAT ISLANDS,Mobility Disability,91.0,86.0,348.0,1788.0,3020,130671
Region XIII (Caraga),DINAGAT ISLANDS,Self-Care Disability,106.0,64.0,96.0,454.0,938,130671
Region XIII (Caraga),DINAGAT ISLANDS,Visual Disability,111.0,276.0,1569.0,4080.0,7885,130671
Region XIII (Caraga),SURIGAO DEL NORTE,Cognitive Disability,84.0,172.0,486.0,1311.0,10837,528148
Region XIII (Caraga),SURIGAO DEL NORTE,Communication Disability,116.0,101.0,111.0,298.0,3299,528148
Region XIII (Caraga),SURIGAO DEL NORTE,Hearing Disability,71.0,113.0,306.0,1454.0,10258,528148
Region XIII (Caraga),SURIGAO DEL NORTE,Mobility Disability,68.0,96.0,319.0,1426.0,10071,528148
Region XIII (Caraga),SURIGAO DEL NORTE,Self-Care Disability,99.0,56.0,77.0,453.0,3604,528148
Region XIII (Caraga),SURIGAO DEL NORTE,Visual Disability,150.0,366.0,2014.0,3663.0,32694,528148
Region XIII (Caraga),SURIGAO DEL SUR,Cognitive Disability,101.0,205.0,538.0,1394.0,13880,620531
Region XIII (Caraga),SURIGAO DEL SUR,Communication Disability,160.0,129.0,124.0,347.0,4706,620531
Region XIII (Caraga),SURIGAO DEL SUR,Hearing Disability,77.0,111.0,319.0,1643.0,13331,620531
Region XIII (Caraga),SURIGAO DEL SUR,Mobility Disability,86.0,98.0,333.0,1503.0,12528,620531
Region XIII (Caraga),SURIGAO DEL SUR,Self-Care Disability,125.0,58.0,80.0,442.0,4365,620531
Region XIII (Caraga),SURIGAO DEL SUR,Visual Disability,129.0,318.0,2386.0,4479.0,45359,620531
