Region,Province,Disability,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+,Household Population 5 Years Old and Over with Functional Difficulty,Population
MIMAROPA Region,MARINDUQUE,Hearing Disability,99.0,106.0,325.0,2204.0,6585,241036
MIMAROPA Region,MARINDUQUE,Mobility Disability,119.0,111.0,446.0,2718.0,8177,241036
MIMAROPA Region,MARINDUQUE,Self-Care Disability,116.0,68.0,94.0,671.0,2281,241036
MIMAROPA Region,MARINDUQUE,Visual Disability,206.0,380.0,2577.0,6159.0,22464,241036
MIMAROPA Region,OCCIDENTAL MINDORO,Cognitive Disability,84.0,113.0,376.0,994.0,8065,515134
MIMAROPA Region,OCCIDENTAL MINDORO,Communication Disability,133.0,103.0,111.0,270.0,3161,515134
MIMAROPA Region,OCCIDENTAL MINDORO,Hearing Disability,93.0,126.0,371.0,1575.0,11145,515134
MIMAROPA Region,OCCIDENTAL MINDORO,Mobility Disability,85.0,94.0,346.0,1546.0,10663,515134
MIMAROPA Region,OCCIDENTAL MINDORO,Self-Care Disability,114.0,51.0,81.0,381.0,3225,515134
MIMAROPA Region,OCCIDENTAL MINDORO,Visual Disability,164.0,423.0,2984.0,4419.0,41146,515134
MIMAROPA Region,ORIENTAL MINDORO,Cognitive Disability,92.0,165.0,473.0,1232.0,17669,901270
MIMAROPA Region,ORIENTAL MINDORO,Communication Disability,138.0,117.0,125.0,319.0,6275,901270
MIMAROPA Region,ORIENTAL MINDORO,Hearing Disability,102.0,119.0,349.0,1473.0,18387,901270
MIMAROPA Region,ORIENTAL MINDORO,Mobility Disability,95.0,116.0,405.0,1798.0,21738,901270
MIMAROPA Region,ORIENTAL MINDORO,Self-Care Disability,89.0,57.0,87.0,414.0,5809,901270
MIMAROPA Region,ORIENTAL MINDORO,Visual Disability,274.0,528.0,2952.0,4784.0,76944,901270
MIMAROPA Region,PALAWAN,Cognitive Disability,87.0,215.0,544.0,1134.0,24047,1216009
MIMAROPA Region,PALAWAN,Communication Disability,132.0,118.0,116.0,295.0,8024,1216009
MIMAROPA Region,PALAWAN,Hearing Disability,102.0,157.0,453.0,1658.0,28799,1216009
MIMAROPA Region,PALAWAN,Mobility Disability,86.0,117.0,385.0,1550.0,25964,1216009
MIMAROPA Region,PALAWAN,Self-Care Disability,116.0,61.0,85.0,385.0,7853,1216009
MIMAROPA Region,PALAWAN,Visual Disability,168.0,499.0,3125.0,4558.0,101524,1216009
MIMAROPA Region,ROMBLON,Cognitive Disability,123.0,231.0,741.0,2178.0,9861,301407
MIMAROPA Region,ROMBLON,Communication Disability,173.0,148.0,143.0,475.0,2823,301407
MIMAROPA Region,ROMBLON,Hearing Disability,105.0,144.0,428.0,2390.0,9238,301407
MIMAROPA Region,ROMBLON,Mobility Disability,109.0,129.0,529.0,2850.0,10894,301407
MIMAROPA Region,ROMBLON,Self-Care Disability,137.0,70.0,113.0,692.0,3043,301407
MIMAROPA Region,ROMBLON,Visual Disability,241.0,547.0,3685.0,7065.0,34772,301407
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",Cognitive Disability,69.0,92.0,212.0,655.0,19368,1886920
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",Communication Disability,96.0,86.0,100.0,258.0,10163,1886920
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",Hearing Disability,61.0,94.0,264.0,1142.0,29409,1886920
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",Mobility Disability,55.0,72.0,296.0,1454.0,35367,1886920
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",Self-Care Disability,93.0,47.0,74.0,359.0,10769,1886920
National Capital Region (NCR),"NCR, FIRST DISTRICT (NOT A PROVINCE)",Visual Disability,519.0,1092.0,2587.0,3865.0,152118,1886920
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Cognitive Disability,53.0,66.0,117.0,379.0,24623,4015981
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Communication Disability,82.0,81.0,89.0,183.0,17382,4015981
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Hearing Disability,42.0,67.0,158.0,685.0,38156,4015981
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Mobility Disability,42.0,57.0,174.0,815.0,43626,4015981
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Self-Care Disability,69.0,47.0,65.0,255.0,17473,4015981
National Capital Region (NCR),"NCR, FOURTH DISTRICT (NOT A PROVINCE)",Visual Disability,323.0,752.0,1663.0,2520.0,211113,4015981
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Cognitive Disability,70.0,70.0,113.0,375.0,31010,4960933
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Communication Disability,92.0,78.0,91.0,174.0,21481,4960933
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Hearing Disability,49.0,65.0,146.0,646.0,44847,4960933
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Mobility Disability,49.0,58.0,190.0,822.0,55400,4960933
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Self-Care Disability,74.0,46.0,67.0,257.0,21899,4960933
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",Visual Disability,348.0,721.0,1587.0,2348.0,248187,4960933
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Cognitive Disability,48.0,57.0,106.0,327.0,15785,2940822
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Communication Disability,77.0,69.0,75.0,156.0,11038,2940822
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Hearing Disability,53.0,71.0,188.0,746.0,31047,2940822
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Mobility Disability,47.0,56.0,197.0,809.0,32560,2940822
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Self-Care Disability,64.0,37.0,54.0,214.0,10783,2940822
National Capital Region (NCR),"NCR, THIRD DISTRICT (NOT A PROVINCE)",Visual Disability,429.0,831.0,2290.0,3148.0,196890,2940822
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Cognitive Disability,116.0,287.0,784.0,1503.0,20805,774102
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Communication Disability,145.0,116.0,122.0,288.0,5180,774102
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Hearing Disability,92.0,130.0,373.0,1485.0,16085,774102
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Mobility Disability,91.0,114.0,425.0,1515.0,16591,774102
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Self-Care Disability,116.0,62.0,82.0,391.0,5020,774102
REGION XI (DAVAO REGION),COMPOSTELA VALLEY,Visual Disability,154.0,450.0,2620.0,4165.0,57173,774102
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Cognitive Disability,89.0,144.0,383.0,898.0,15977,1056457
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Communication Disability,121.0,90.0,107.0,263.0,6108,1056457
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Hearing Disability,70.0,92.0,276.0,1280.0,18123,1056457
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Mobility Disability,69.0,87.0,332.0,1259.0,18423,1056457
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Self-Care Disability,113.0,64.0,95.0,383.0,6899,1056457
REGION XI (DAVAO REGION),DAVAO DEL NORTE,Visual Disability,156.0,422.0,2289.0,3790.0,70313,1056457
REGION XI (DAVAO REGION),DAVAO DEL SUR,Cognitive Disability,70.0,101.0,217.0,635.0,25708,2520852
REGION XI (DAVAO REGION),DAVAO DEL SUR,Communication Disability,110.0,97.0,104.0,227.0,13527,2520852
REGION XI (DAVAO REGION),DAVAO DEL SUR,Hearing Disability,50.0,69.0,177.0,902.0,30139,2520852
REGION XI (DAVAO REGION),DAVAO DEL SUR,Mobility Disability,54.0,66.0,213.0,946.0,32203,2520852
REGION XI (DAVAO REGION),DAVAO DEL SUR,Self-Care Disability,94.0,50.0,68.0,315.0,13230,2520852
REGION XI (DAVAO REGION),DAVAO DEL SUR,Visual Disability,181.0,447.0,1661.0,2875.0,130139,2520852
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Cognitive Disability,92.0,270.0,666.0,1135.0,7325,338925
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Communication Disability,126.0,95.0,120.0,294.0,2146,338925
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Hearing Disability,68.0,99.0,278.0,1065.0,5112,338925
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Mobility Disability,76.0,92.0,336.0,1030.0,5192,338925
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Self-Care Disability,104.0,57.0,88.0,363.0,2073,338925
REGION XI (DAVAO REGION),DAVAO OCCIDENTAL,Visual Disability,92.0,244.0,1575.0,2687.0,15577,338925
REGION XI (DAVAO REGION),DAVAO ORIENTAL,Cognitive Disability,76.0,122.0,342.0,1010.0,9295,600531
REGION XI (DAVAO REGION),DAVAO ORIENTAL,Communication Disability,99.0,81.0,84.0,305.0,3399,600531
REGION XI (DAVAO REGION),DAVAO ORIENTAL,Hearing Disability,61.0,74.0,239.0,1288.0,9968,600531
REGION XI (DAVAO REGION),DAVAO ORIENTAL,Mobility Disability,60.0,79.0,298.0,1319.0,10535,600531
REGION XI (DAVAO REGION),DAVAO ORIENTAL,Self-Care Disability,89.0,46.0,61.0,404.0,3589,600531
REGION XI (DAVAO REGION),DAVAO ORIENTAL,Visual Disability,106.0,250.0,1679.0,3354.0,32348,600531
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),Cognitive Disability,81.0,111.0,307.0,783.0,19562,1527149
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),Communication Disability,106.0,87.0,94.0,238.0,7992,1527149
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),Hearing Disability,51.0,68.0,205.0,1000.0,20190,1527149
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),Mobility Disability,65.0,69.0,261.0,996.0,21216,1527149
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),Self-Care Disability,114.0,46.0,70.0,323.0,8402,1527149
REGION XII (SOCCSKSARGEN),COTABATO (NORTH COTABATO),Visual Disability,84.0,191.0,1438.0,2667.0,66850,1527149
REGION XII (SOCCSKSARGEN),SARANGANI,Cognitive Disability,573.0,1065.0,2605.0,6248.0,61228,583791
REGION XII (SOCCSKSARGEN),SARANGANI,Communication Disability,796.0,646.0,624.0,1580.0,21271,583791
REGION XII (SOCCSKSARGEN),SARANGANI,Hearing Disability,459.0,644.0,1676.0,7560.0,60346,583791
REGION XII (SOCCSKSARGEN),SARANGANI,Mobility Disability,458.0,533.0,1725.0,7069.0,57114,583791
REGION XII (SOCCSKSARGEN),SARANGANI,Self-Care Disability,647.0,350.0,446.0,2177.0,21118,583791
REGION XII (SOCCSKSARGEN),SARANGANI,Visual Disability,736.0,1776.0,10266.0,18679.0,183632,583791
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,Cognitive Disability,84.0,133.0,314.0,750.0,21025,1644256
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,Communication Disability,101.0,90.0,93.0,230.0,8435,1644256
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,Hearing Disability,60.0,84.0,203.0,922.0,20842,1644256
REGION XII (SOCCSKSARGEN),SOUTH COTABATO,Mobility Disability,65.0,80.0,269.0,970.0,22725,1644256
