Region,Province,Sex,Disability,Status,Household Population 5 Years Old and Over with Functional Difficulty,Gender Population,Gender affected by disability per 100k
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Cognitive Disability,Moderate,51,456795.0,11
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Cognitive Disability,Severe,10,456795.0,2
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Communication Disability,Mild,750,456795.0,164
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Communication Disability,Moderate,153,456795.0,33
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Communication Disability,Severe,133,456795.0,29
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Hearing Disability,Mild,1403,456795.0,307
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Hearing Disability,Moderate,64,456795.0,14
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Hearing Disability,Severe,22,456795.0,4
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Mobility Disability,Mild,1342,456795.0,293
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Mobility Disability,Moderate,75,456795.0,16
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Mobility Disability,Severe,16,456795.0,3
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Self-Care Disability,Mild,574,456795.0,125
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Self-Care Disability,Moderate,50,456795.0,10
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Self-Care Disability,Severe,20,456795.0,4
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Visual Disability,Mild,2180,456795.0,477
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Visual Disability,Moderate,73,456795.0,15
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),SULU,Male,Visual Disability,Severe,563,456795.0,123
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Cognitive Disability,Mild,1162,206845.0,561
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),TAWI-TAWI,Female,Cognitive Disability,Moderate,129,206845.0,62
