Region,Province,Sex,Disability,Status,Household Population 5 Years Old and Over with Functional Difficulty,Gender Population,Gender affected by disability per 100k
Region II (Cagayan Valley),NUEVA VIZCAYA,Female,Visual Disability,Severe,220,241447.0,91
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Cognitive Disability,Mild,3105,241447.0,1285
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Cognitive Disability,Moderate,479,241447.0,198
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Cognitive Disability,Severe,135,241447.0,55
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Communication Disability,Mild,935,241447.0,387
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Communication Disability,Moderate,368,241447.0,152
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Communication Disability,Severe,316,241447.0,130
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Hearing Disability,Mild,4870,241447.0,2017
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Hearing Disability,Moderate,692,241447.0,286
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Hearing Disability,Severe,175,241447.0,72
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Mobility Disability,Mild,4675,241447.0,1936
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Mobility Disability,Moderate,925,241447.0,383
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Mobility Disability,Severe,387,241447.0,160
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Self-Care Disability,Mild,963,241447.0,398
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Self-Care Disability,Moderate,363,241447.0,150
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Self-Care Disability,Severe,498,241447.0,206
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Visual Disability,Mild,14467,241447.0,5991
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Visual Disability,Moderate,961,241447.0,398
Region II (Cagayan Valley),NUEVA VIZCAYA,Male,Visual Disability,Severe,160,241447.0,66
Region II (Cagayan Valley),QUIRINO,Female,Cognitive Disability,Mild,1461,98958.5,1476
Region II (Cagayan Valley),QUIRINO,Female,Cognitive Disability,Moderate,177,98958.5,178
Region II (Cagayan Valley),QUIRINO,Female,Cognitive Disability,Severe,41,98958.5,41
Region II (Cagayan Valley),QUIRINO,Female,Communication Disability,Mild,286,98958.5,289
Region II (Cagayan Valley),QUIRINO,Female,Communication Disability,Moderate,129,98958.5,130
Region II (Cagayan Valley),QUIRINO,Female,Communication Disability,Severe,87,98958.5,87
Region II (Cagayan Valley),QUIRINO,Female,Hearing Disability,Mild,1909,98958.5,1929
Region II (Cagayan Valley),QUIRINO,Female,Hearing Disability,Moderate,270,98958.5,272
Region II (Cagayan Valley),QUIRINO,Female,Hearing Disability,Severe,64,98958.5,64
Region II (Cagayan Valley),QUIRINO,Female,Mobility Disability,Mild,1822,98958.5,1841
Region II (Cagayan Valley),QUIRINO,Female,Mobility Disability,Moderate,284,98958.5,286
Region II (Cagayan Valley),QUIRINO,Female,Mobility Disability,Severe,125,98958.5,126
Region II (Cagayan Valley),QUIRINO,Female,Self-Care Disability,Mild,274,98958.5,276
Region II (Cagayan Valley),QUIRINO,Female,Self-Care Disability,Moderate,110,98958.5,111
Region II (Cagayan Valley),QUIRINO,Female,Self-Care Disability,Severe,142,98958.5,143
Region II (Cagayan Valley),QUIRINO,Female,Visual Disability,Mild,5347,98958.5,5403
Region II (Cagayan Valley),QUIRINO,Female,Visual Disability,Moderate,320,98958.5,323
Region II (Cagayan Valley),QUIRINO,Female,Visual Disability,Severe,75,98958.5,75
Region II (Cagayan Valley),QUIRINO,Male,Cognitive Disability,Mild,1056,98958.5,1067
Region II (Cagayan Valley),QUIRINO,Male,Cognitive Disability,Moderate,178,98958.5,179
Region II (Cagayan Valley),QUIRINO,Male,Cognitive Disability,Severe,44,98958.5,44
Region II (Cagayan Valley),QUIRINO,Male,Communication Disability,Mild,276,98958.5,278
Region II (Cagayan Valley),QUIRINO,Male,Communication Disability,Moderate,162,98958.5,163
Region II (Cagayan Valley),QUIRINO,Male,Communication Disability,Severe,124,98958.5,125
Region II (Cagayan Valley),QUIRINO,Male,Hearing Disability,Mild,1765,98958.5,1783
Region II (Cagayan Valley),QUIRINO,Male,Hearing Disability,Moderate,282,98958.5,284
Region II (Cagayan Valley),QUIRINO,Male,Hearing Disability,Severe,58,98958.5,58
Region II (Cagayan Valley),QUIRINO,Male,Mobility Disability,Mild,1601,98958.5,1617
Region II (Cagayan Valley),QUIRINO,Male,Mobility Disability,Moderate,334,98958.5,337
Region II (Cagayan Valley),QUIRINO,Male,Mobility Disability,Severe,147,98958.5,148
Region II (Cagayan Valley),QUIRINO,Male,Self-Care Disability,Mild,260,98958.5,262
Region II (Cagayan Valley),QUIRINO,Male,Self-Care Disability,Moderate,132,98958.5,133
Region II (Cagayan Valley),QUIRINO,Male,Self-Care Disability,Severe,151,98958.5,152
Region II (Cagayan Valley),QUIRINO,Male,Visual Disability,Mild,4498,98958.5,4545
Region II (Cagayan Valley),QUIRINO,Male,Visual Disability,Moderate,292,98958.5,295
Region II (Cagayan Valley),QUIRINO,Male,Visual Disability,Severe,60,98958.5,60
Region III (Central Luzon),AURORA,Female,Cognitive Disability,Mild,1287,113765.0,1131
Region III (Central Luzon),AURORA,Female,Cognitive Disability,Moderate,192,113765.0,168
Region III (Central Luzon),AURORA,Female,Cognitive Disability,Severe,69,113765.0,60
Region III (Central Luzon),AURORA,Female,Communication Disability,Mild,339,113765.0,297
Region III (Central Luzon),AURORA,Female,Communication Disability,Moderate,143,113765.0,125
Region III (Central Luzon),AURORA,Female,Communication Disability,Severe,141,113765.0,123
Region III (Central Luzon),AURORA,Female,Hearing Disability,Mild,1678,113765.0,1474
Region III (Central Luzon),AURORA,Female,Hearing Disability,Moderate,206,113765.0,181
Region III (Central Luzon),AURORA,Female,Hearing Disability,Severe,64,113765.0,56
Region III (Central Luzon),AURORA,Female,Mobility Disability,Mild,1540,113765.0,1353
Region III (Central Luzon),AURORA,Female,Mobility Disability,Moderate,309,113765.0,271
Region III (Central Luzon),AURORA,Female,Mobility Disability,Severe,182,113765.0,159
Region III (Central Luzon),AURORA,Female,Self-Care Disability,Mild,345,113765.0,303
Region III (Central Luzon),AURORA,Female,Self-Care Disability,Moderate,124,113765.0,108
Region III (Central Luzon),AURORA,Female,Self-Care Disability,Severe,175,113765.0,153
Region III (Central Luzon),AURORA,Female,Visual Disability,Mild,5189,113765.0,4561
Region III (Central Luzon),AURORA,Female,Visual Disability,Moderate,340,113765.0,298
Region III (Central Luzon),AURORA,Female,Visual Disability,Severe,81,113765.0,71
Region III (Central Luzon),AURORA,Male,Cognitive Disability,Mild,936,113765.0,822
Region III (Central Luzon),AURORA,Male,Cognitive Disability,Moderate,150,113765.0,131
Region III (Central Luzon),AURORA,Male,Cognitive Disability,Severe,66,113765.0,58
Region III (Central Luzon),AURORA,Male,Communication Disability,Mild,372,113765.0,326
Region III (Central Luzon),AURORA,Male,Communication Disability,Moderate,154,113765.0,135
Region III (Central Luzon),AURORA,Male,Communication Disability,Severe,137,113765.0,120
Region III (Central Luzon),AURORA,Male,Hearing Disability,Mild,1491,113765.0,1310
Region III (Central Luzon),AURORA,Male,Hearing Disability,Moderate,190,113765.0,167
Region III (Central Luzon),AURORA,Male,Hearing Disability,Severe,65,113765.0,57
Region III (Central Luzon),AURORA,Male,Mobility Disability,Mild,1421,113765.0,1249
Region III (Central Luzon),AURORA,Male,Mobility Disability,Moderate,311,113765.0,273
Region III (Central Luzon),AURORA,Male,Mobility Disability,Severe,154,113765.0,135
Region III (Central Luzon),AURORA,Male,Self-Care Disability,Mild,314,113765.0,276
Region III (Central Luzon),AURORA,Male,Self-Care Disability,Moderate,120,113765.0,105
Region III (Central Luzon),AURORA,Male,Self-Care Disability,Severe,163,113765.0,143
Region III (Central Luzon),AURORA,Male,Visual Disability,Mild,4191,113765.0,3683
Region III (Central Luzon),AURORA,Male,Visual Disability,Moderate,263,113765.0,231
Region III (Central Luzon),AURORA,Male,Visual Disability,Severe,61,113765.0,53
Region III (Central Luzon),BATAAN,Female,Cognitive Disability,Mild,4345,418038.0,1039
Region III (Central Luzon),BATAAN,Female,Cognitive Disability,Moderate,536,418038.0,128
Region III (Central Luzon),BATAAN,Female,Cognitive Disability,Severe,166,418038.0,39
Region III (Central Luzon),BATAAN,Female,Communication Disability,Mild,1031,418038.0,246
Region III (Central Luzon),BATAAN,Female,Communication Disability,Moderate,498,418038.0,119
Region III (Central Luzon),BATAAN,Female,Communication Disability,Severe,414,418038.0,99
Region III (Central Luzon),BATAAN,Female,Hearing Disability,Mild,6088,418038.0,1456
Region III (Central Luzon),BATAAN,Female,Hearing Disability,Moderate,714,418038.0,170
Region III (Central Luzon),BATAAN,Female,Hearing Disability,Severe,228,418038.0,54
Region III (Central Luzon),BATAAN,Female,Mobility Disability,Mild,6287,418038.0,1503
Region III (Central Luzon),BATAAN,Female,Mobility Disability,Moderate,1307,418038.0,312
Region III (Central Luzon),BATAAN,Female,Mobility Disability,Severe,586,418038.0,140
Region III (Central Luzon),BATAAN,Female,Self-Care Disability,Mild,1340,418038.0,320
Region III (Central Luzon),BATAAN,Female,Self-Care Disability,Moderate,451,418038.0,107
Region III (Central Luzon),BATAAN,Female,Self-Care Disability,Severe,543,418038.0,129
Region III (Central Luzon),BATAAN,Female,Visual Disability,Mild,36427,418038.0,8713
Region III (Central Luzon),BATAAN,Female,Visual Disability,Moderate,2564,418038.0,613
Region III (Central Luzon),BATAAN,Female,Visual Disability,Severe,221,418038.0,52
Region III (Central Luzon),BATAAN,Male,Cognitive Disability,Mild,2449,418038.0,585
Region III (Central Luzon),BATAAN,Male,Cognitive Disability,Moderate,420,418038.0,100
Region III (Central Luzon),BATAAN,Male,Cognitive Disability,Severe,177,418038.0,42
Region III (Central Luzon),BATAAN,Male,Communication Disability,Mild,1011,418038.0,241
Region III (Central Luzon),BATAAN,Male,Communication Disability,Moderate,462,418038.0,110
Region III (Central Luzon),BATAAN,Male,Communication Disability,Severe,416,418038.0,99
Region III (Central Luzon),BATAAN,Male,Hearing Disability,Mild,4897,418038.0,1171
Region III (Central Luzon),BATAAN,Male,Hearing Disability,Moderate,593,418038.0,141
Region III (Central Luzon),BATAAN,Male,Hearing Disability,Severe,234,418038.0,55
Region III (Central Luzon),BATAAN,Male,Mobility Disability,Mild,5024,418038.0,1201
Region III (Central Luzon),BATAAN,Male,Mobility Disability,Moderate,1247,418038.0,298
Region III (Central Luzon),BATAAN,Male,Mobility Disability,Severe,495,418038.0,118
Region III (Central Luzon),BATAAN,Male,Self-Care Disability,Mild,991,418038.0,237
Region III (Central Luzon),BATAAN,Male,Self-Care Disability,Moderate,390,418038.0,93
Region III (Central Luzon),BATAAN,Male,Self-Care Disability,Severe,497,418038.0,118
Region III (Central Luzon),BATAAN,Male,Visual Disability,Mild,25478,418038.0,6094
Region III (Central Luzon),BATAAN,Male,Visual Disability,Moderate,1665,418038.0,398
Region III (Central Luzon),BATAAN,Male,Visual Disability,Severe,180,418038.0,43
Region III (Central Luzon),BULACAN,Female,Cognitive Disability,Mild,16317,1823339.5,894
Region III (Central Luzon),BULACAN,Female,Cognitive Disability,Moderate,2257,1823339.5,123
Region III (Central Luzon),BULACAN,Female,Cognitive Disability,Severe,747,1823339.5,40
Region III (Central Luzon),BULACAN,Female,Communication Disability,Mild,5322,1823339.5,291
Region III (Central Luzon),BULACAN,Female,Communication Disability,Moderate,2284,1823339.5,125
Region III (Central Luzon),BULACAN,Female,Communication Disability,Severe,1943,1823339.5,106
Region III (Central Luzon),BULACAN,Female,Hearing Disability,Mild,26029,1823339.5,1427
Region III (Central Luzon),BULACAN,Female,Hearing Disability,Moderate,2758,1823339.5,151
Region III (Central Luzon),BULACAN,Female,Hearing Disability,Severe,851,1823339.5,46
Region III (Central Luzon),BULACAN,Female,Mobility Disability,Mild,26572,1823339.5,1457
Region III (Central Luzon),BULACAN,Female,Mobility Disability,Moderate,5070,1823339.5,278
Region III (Central Luzon),BULACAN,Female,Mobility Disability,Severe,2363,1823339.5,129
Region III (Central Luzon),BULACAN,Female,Self-Care Disability,Mild,6019,1823339.5,330
Region III (Central Luzon),BULACAN,Female,Self-Care Disability,Moderate,1980,1823339.5,108
Region III (Central Luzon),BULACAN,Female,Self-Care Disability,Severe,2305,1823339.5,126
Region III (Central Luzon),BULACAN,Female,Visual Disability,Mild,163228,1823339.5,8952
Region III (Central Luzon),BULACAN,Female,Visual Disability,Moderate,10363,1823339.5,568
Region III (Central Luzon),BULACAN,Female,Visual Disability,Severe,1226,1823339.5,67
Region III (Central Luzon),BULACAN,Male,Cognitive Disability,Mild,10289,1823339.5,564
Region III (Central Luzon),BULACAN,Male,Cognitive Disability,Moderate,1792,1823339.5,98
Region III (Central Luzon),BULACAN,Male,Cognitive Disability,Severe,746,1823339.5,40
Region III (Central Luzon),BULACAN,Male,Communication Disability,Mild,5420,1823339.5,297
Region III (Central Luzon),BULACAN,Male,Communication Disability,Moderate,2217,1823339.5,121
Region III (Central Luzon),BULACAN,Male,Communication Disability,Severe,1929,1823339.5,105
Region III (Central Luzon),BULACAN,Male,Hearing Disability,Mild,21056,1823339.5,1154
Region III (Central Luzon),BULACAN,Male,Hearing Disability,Moderate,2257,1823339.5,123
Region III (Central Luzon),BULACAN,Male,Hearing Disability,Severe,837,1823339.5,45
Region III (Central Luzon),BULACAN,Male,Mobility Disability,Mild,20130,1823339.5,1104
Region III (Central Luzon),BULACAN,Male,Mobility Disability,Moderate,4603,1823339.5,252
Region III (Central Luzon),BULACAN,Male,Mobility Disability,Severe,1943,1823339.5,106
Region III (Central Luzon),BULACAN,Male,Self-Care Disability,Mild,4993,1823339.5,273
Region III (Central Luzon),BULACAN,Male,Self-Care Disability,Moderate,1678,1823339.5,92
Region III (Central Luzon),BULACAN,Male,Self-Care Disability,Severe,2014,1823339.5,110
Region III (Central Luzon),BULACAN,Male,Visual Disability,Mild,117298,1823339.5,6433
Region III (Central Luzon),BULACAN,Male,Visual Disability,Moderate,7130,1823339.5,391
Region III (Central Luzon),BULACAN,Male,Visual Disability,Severe,1014,1823339.5,55
Region III (Central Luzon),NUEVA ECIJA,Female,Cognitive Disability,Mild,12119,1177707.0,1029
Region III (Central Luzon),NUEVA ECIJA,Female,Cognitive Disability,Moderate,1584,1177707.0,134
Region III (Central Luzon),NUEVA ECIJA,Female,Cognitive Disability,Severe,563,1177707.0,47
Region III (Central Luzon),NUEVA ECIJA,Female,Communication Disability,Mild,4159,1177707.0,353
Region III (Central Luzon),NUEVA ECIJA,Female,Communication Disability,Moderate,1509,1177707.0,128
Region III (Central Luzon),NUEVA ECIJA,Female,Communication Disability,Severe,1282,1177707.0,108
Region III (Central Luzon),NUEVA ECIJA,Female,Hearing Disability,Mild,22521,1177707.0,1912
Region III (Central Luzon),NUEVA ECIJA,Female,Hearing Disability,Moderate,2323,1177707.0,197
Region III (Central Luzon),NUEVA ECIJA,Female,Hearing Disability,Severe,532,1177707.0,45
Region III (Central Luzon),NUEVA ECIJA,Female,Mobility Disability,Mild,21213,1177707.0,1801
Region III (Central Luzon),NUEVA ECIJA,Female,Mobility Disability,Moderate,3518,1177707.0,298
Region III (Central Luzon),NUEVA ECIJA,Female,Mobility Disability,Severe,1487,1177707.0,126
Region III (Central Luzon),NUEVA ECIJA,Female,Self-Care Disability,Mild,4907,1177707.0,416
Region III (Central Luzon),NUEVA ECIJA,Female,Self-Care Disability,Moderate,1478,1177707.0,125
Region III (Central Luzon),NUEVA ECIJA,Female,Self-Care Disability,Severe,1534,1177707.0,130
Region III (Central Luzon),NUEVA ECIJA,Female,Visual Disability,Mild,113012,1177707.0,9595
Region III (Central Luzon),NUEVA ECIJA,Female,Visual Disability,Moderate,5785,1177707.0,491
Region III (Central Luzon),NUEVA ECIJA,Female,Visual Disability,Severe,883,1177707.0,74
Region III (Central Luzon),NUEVA ECIJA,Male,Cognitive Disability,Mild,7434,1177707.0,631
Region III (Central Luzon),NUEVA ECIJA,Male,Cognitive Disability,Moderate,1206,1177707.0,102
Region III (Central Luzon),NUEVA ECIJA,Male,Cognitive Disability,Severe,493,1177707.0,41
Region III (Central Luzon),NUEVA ECIJA,Male,Communication Disability,Mild,3871,1177707.0,328
Region III (Central Luzon),NUEVA ECIJA,Male,Communication Disability,Moderate,1393,1177707.0,118
Region III (Central Luzon),NUEVA ECIJA,Male,Communication Disability,Severe,1215,1177707.0,103
Region III (Central Luzon),NUEVA ECIJA,Male,Hearing Disability,Mild,17537,1177707.0,1489
Region III (Central Luzon),NUEVA ECIJA,Male,Hearing Disability,Moderate,1810,1177707.0,153
Region III (Central Luzon),NUEVA ECIJA,Male,Hearing Disability,Severe,593,1177707.0,50
Region III (Central Luzon),NUEVA ECIJA,Male,Mobility Disability,Mild,15855,1177707.0,1346
Region III (Central Luzon),NUEVA ECIJA,Male,Mobility Disability,Moderate,3089,1177707.0,262
Region III (Central Luzon),NUEVA ECIJA,Male,Mobility Disability,Severe,1271,1177707.0,107
Region III (Central Luzon),NUEVA ECIJA,Male,Self-Care Disability,Mild,3995,1177707.0,339
Region III (Central Luzon),NUEVA ECIJA,Male,Self-Care Disability,Moderate,1243,1177707.0,105
Region III (Central Luzon),NUEVA ECIJA,Male,Self-Care Disability,Severe,1320,1177707.0,112
Region III (Central Luzon),NUEVA ECIJA,Male,Visual Disability,Mild,85439,1177707.0,7254
Region III (Central Luzon),NUEVA ECIJA,Male,Visual Disability,Moderate,4197,1177707.0,356
Region III (Central Luzon),NUEVA ECIJA,Male,Visual Disability,Severe,701,1177707.0,59
Region III (Central Luzon),PAMPANGA,Female,Cognitive Disability,Mild,8056,1446812.0,556
Region III (Central Luzon),PAMPANGA,Female,Cognitive Disability,Moderate,1082,1446812.0,74
Region III (Central Luzon),PAMPANGA,Female,Cognitive Disability,Severe,432,1446812.0,29
Region III (Central Luzon),PAMPANGA,Female,Communication Disability,Mild,3317,1446812.0,229
Region III (Central Luzon),PAMPANGA,Female,Communication Disability,Moderate,1335,1446812.0,92
Region III (Central Luzon),PAMPANGA,Female,Communication Disability,Severe,1367,1446812.0,94
Region III (Central Luzon),PAMPANGA,Female,Hearing Disability,Mild,13027,1446812.0,900
Region III (Central Luzon),PAMPANGA,Female,Hearing Disability,Moderate,1340,1446812.0,92
Region III (Central Luzon),PAMPANGA,Female,Hearing Disability,Severe,447,1446812.0,30
Region III (Central Luzon),PAMPANGA,Female,Mobility Disability,Mild,14290,1446812.0,987
Region III (Central Luzon),PAMPANGA,Female,Mobility Disability,Moderate,2249,1446812.0,155
Region III (Central Luzon),PAMPANGA,Female,Mobility Disability,Severe,1296,1446812.0,89
Region III (Central Luzon),PAMPANGA,Female,Self-Care Disability,Mild,3654,1446812.0,252
Region III (Central Luzon),PAMPANGA,Female,Self-Care Disability,Moderate,998,1446812.0,68
Region III (Central Luzon),PAMPANGA,Female,Self-Care Disability,Severe,1286,1446812.0,88
Region III (Central Luzon),PAMPANGA,Female,Visual Disability,Mild,69674,1446812.0,4815
Region III (Central Luzon),PAMPANGA,Female,Visual Disability,Moderate,3371,1446812.0,232
Region III (Central Luzon),PAMPANGA,Female,Visual Disability,Severe,1356,1446812.0,93
Region III (Central Luzon),PAMPANGA,Male,Cognitive Disability,Mild,5254,1446812.0,363
Region III (Central Luzon),PAMPANGA,Male,Cognitive Disability,Moderate,792,1446812.0,54
Region III (Central Luzon),PAMPANGA,Male,Cognitive Disability,Severe,390,1446812.0,26
Region III (Central Luzon),PAMPANGA,Male,Communication Disability,Mild,3541,1446812.0,244
Region III (Central Luzon),PAMPANGA,Male,Communication Disability,Moderate,1124,1446812.0,77
Region III (Central Luzon),PAMPANGA,Male,Communication Disability,Severe,1158,1446812.0,80
Region III (Central Luzon),PAMPANGA,Male,Hearing Disability,Mild,10043,1446812.0,694
Region III (Central Luzon),PAMPANGA,Male,Hearing Disability,Moderate,1023,1446812.0,70
Region III (Central Luzon),PAMPANGA,Male,Hearing Disability,Severe,450,1446812.0,31
Region III (Central Luzon),PAMPANGA,Male,Mobility Disability,Mild,11209,1446812.0,774
Region III (Central Luzon),PAMPANGA,Male,Mobility Disability,Moderate,2044,1446812.0,141
Region III (Central Luzon),PAMPANGA,Male,Mobility Disability,Severe,1061,1446812.0,73
Region III (Central Luzon),PAMPANGA,Male,Self-Care Disability,Mild,2965,1446812.0,204
Region III (Central Luzon),PAMPANGA,Male,Self-Care Disability,Moderate,830,1446812.0,57
Region III (Central Luzon),PAMPANGA,Male,Self-Care Disability,Severe,1057,1446812.0,73
Region III (Central Luzon),PAMPANGA,Male,Visual Disability,Mild,51545,1446812.0,3562
Region III (Central Luzon),PAMPANGA,Male,Visual Disability,Moderate,2465,1446812.0,170
Region III (Central Luzon),PAMPANGA,Male,Visual Disability,Severe,1264,1446812.0,87
Region III (Central Luzon),TARLAC,Female,Cognitive Disability,Mild,6248,730068.5,855
Region III (Central Luzon),TARLAC,Female,Cognitive Disability,Moderate,918,730068.5,125
Region III (Central Luzon),TARLAC,Female,Cognitive Disability,Severe,350,730068.5,47
Region III (Central Luzon),TARLAC,Female,Communication Disability,Mild,1942,730068.5,266
Region III (Central Luzon),TARLAC,Female,Communication Disability,Moderate,835,730068.5,114
Region III (Central Luzon),TARLAC,Female,Communication Disability,Severe,878,730068.5,120
Region III (Central Luzon),TARLAC,Female,Hearing Disability,Mild,10512,730068.5,1439
Region III (Central Luzon),TARLAC,Female,Hearing Disability,Moderate,1309,730068.5,179
Region III (Central Luzon),TARLAC,Female,Hearing Disability,Severe,361,730068.5,49
Region III (Central Luzon),TARLAC,Female,Mobility Disability,Mild,10092,730068.5,1382
Region III (Central Luzon),TARLAC,Female,Mobility Disability,Moderate,1631,730068.5,223
Region III (Central Luzon),TARLAC,Female,Mobility Disability,Severe,1000,730068.5,136
Region III (Central Luzon),TARLAC,Female,Self-Care Disability,Mild,2351,730068.5,322
Region III (Central Luzon),TARLAC,Female,Self-Care Disability,Moderate,774,730068.5,106
Region III (Central Luzon),TARLAC,Female,Self-Care Disability,Severe,1037,730068.5,142
Region III (Central Luzon),TARLAC,Female,Visual Disability,Mild,41794,730068.5,5724
Region III (Central Luzon),TARLAC,Female,Visual Disability,Moderate,2325,730068.5,318
Region III (Central Luzon),TARLAC,Female,Visual Disability,Severe,846,730068.5,115
Region III (Central Luzon),TARLAC,Male,Cognitive Disability,Mild,3826,730068.5,524
Region III (Central Luzon),TARLAC,Male,Cognitive Disability,Moderate,578,730068.5,79
Region III (Central Luzon),TARLAC,Male,Cognitive Disability,Severe,297,730068.5,40
Region III (Central Luzon),TARLAC,Male,Communication Disability,Mild,1962,730068.5,268
Region III (Central Luzon),TARLAC,Male,Communication Disability,Moderate,694,730068.5,95
Region III (Central Luzon),TARLAC,Male,Communication Disability,Severe,739,730068.5,101
Region III (Central Luzon),TARLAC,Male,Hearing Disability,Mild,8351,730068.5,1143
Region III (Central Luzon),TARLAC,Male,Hearing Disability,Moderate,1003,730068.5,137
Region III (Central Luzon),TARLAC,Male,Hearing Disability,Severe,314,730068.5,43
Region III (Central Luzon),TARLAC,Male,Mobility Disability,Mild,7982,730068.5,1093
Region III (Central Luzon),TARLAC,Male,Mobility Disability,Moderate,1526,730068.5,209
Region III (Central Luzon),TARLAC,Male,Mobility Disability,Severe,820,730068.5,112
Region III (Central Luzon),TARLAC,Male,Self-Care Disability,Mild,1817,730068.5,248
Region III (Central Luzon),TARLAC,Male,Self-Care Disability,Moderate,690,730068.5,94
Region III (Central Luzon),TARLAC,Male,Self-Care Disability,Severe,860,730068.5,117
Region III (Central Luzon),TARLAC,Male,Visual Disability,Mild,31343,730068.5,4293
Region III (Central Luzon),TARLAC,Male,Visual Disability,Moderate,1635,730068.5,223
Region III (Central Luzon),TARLAC,Male,Visual Disability,Severe,659,730068.5,90
Region III (Central Luzon),ZAMBALES,Female,Cognitive Disability,Mild,5630,447127.0,1259
Region III (Central Luzon),ZAMBALES,Female,Cognitive Disability,Moderate,782,447127.0,174
Region III (Central Luzon),ZAMBALES,Female,Cognitive Disability,Severe,267,447127.0,59
Region III (Central Luzon),ZAMBALES,Female,Communication Disability,Mild,1355,447127.0,303
Region III (Central Luzon),ZAMBALES,Female,Communication Disability,Moderate,593,447127.0,132
Region III (Central Luzon),ZAMBALES,Female,Communication Disability,Severe,478,447127.0,106
Region III (Central Luzon),ZAMBALES,Female,Hearing Disability,Mild,8558,447127.0,1913
Region III (Central Luzon),ZAMBALES,Female,Hearing Disability,Moderate,1088,447127.0,243
Region III (Central Luzon),ZAMBALES,Female,Hearing Disability,Severe,299,447127.0,66
Region III (Central Luzon),ZAMBALES,Female,Mobility Disability,Mild,8151,447127.0,1822
Region III (Central Luzon),ZAMBALES,Female,Mobility Disability,Moderate,1548,447127.0,346
Region III (Central Luzon),ZAMBALES,Female,Mobility Disability,Severe,815,447127.0,182
Region III (Central Luzon),ZAMBALES,Female,Self-Care Disability,Mild,1460,447127.0,326
Region III (Central Luzon),ZAMBALES,Female,Self-Care Disability,Moderate,612,447127.0,136
Region III (Central Luzon),ZAMBALES,Female,Self-Care Disability,Severe,862,447127.0,192
Region III (Central Luzon),ZAMBALES,Female,Visual Disability,Mild,41336,447127.0,9244
Region III (Central Luzon),ZAMBALES,Female,Visual Disability,Moderate,2678,447127.0,598
Region III (Central Luzon),ZAMBALES,Female,Visual Disability,Severe,284,447127.0,63
Region III (Central Luzon),ZAMBALES,Male,Cognitive Disability,Mild,3475,447127.0,777
Region III (Central Luzon),ZAMBALES,Male,Cognitive Disability,Moderate,585,447127.0,130
Region III (Central Luzon),ZAMBALES,Male,Cognitive Disability,Severe,220,447127.0,49
Region III (Central Luzon),ZAMBALES,Male,Communication Disability,Mild,1304,447127.0,291
Region III (Central Luzon),ZAMBALES,Male,Communication Disability,Moderate,606,447127.0,135
Region III (Central Luzon),ZAMBALES,Male,Communication Disability,Severe,515,447127.0,115
Region III (Central Luzon),ZAMBALES,Male,Hearing Disability,Mild,6928,447127.0,1549
Region III (Central Luzon),ZAMBALES,Male,Hearing Disability,Moderate,893,447127.0,199
Region III (Central Luzon),ZAMBALES,Male,Hearing Disability,Severe,281,447127.0,62
Region III (Central Luzon),ZAMBALES,Male,Mobility Disability,Mild,6109,447127.0,1366
Region III (Central Luzon),ZAMBALES,Male,Mobility Disability,Moderate,1415,447127.0,316
Region III (Central Luzon),ZAMBALES,Male,Mobility Disability,Severe,683,447127.0,152
Region III (Central Luzon),ZAMBALES,Male,Self-Care Disability,Mild,1210,447127.0,270
Region III (Central Luzon),ZAMBALES,Male,Self-Care Disability,Moderate,538,447127.0,120
Region III (Central Luzon),ZAMBALES,Male,Self-Care Disability,Severe,705,447127.0,157
Region III (Central Luzon),ZAMBALES,Male,Visual Disability,Mild,29867,447127.0,6679
Region III (Central Luzon),ZAMBALES,Male,Visual Disability,Moderate,1912,447127.0,427
Region III (Central Luzon),ZAMBALES,Male,Visual Disability,Severe,271,447127.0,60
Region IV-A (CALABARZON),BATANGAS,Female,Cognitive Disability,Mild,9761,1516865.0,643
Region IV-A (CALABARZON),BATANGAS,Female,Cognitive Disability,Moderate,1726,1516865.0,113
Region IV-A (CALABARZON),BATANGAS,Female,Cognitive Disability,Severe,741,1516865.0,48
Region IV-A (CALABARZON),BATANGAS,Female,Communication Disability,Mild,3983,1516865.0,262
Region IV-A (CALABARZON),BATANGAS,Female,Communication Disability,Moderate,1582,1516865.0,104
Region IV-A (CALABARZON),BATANGAS,Female,Communication Disability,Severe,1445,1516865.0,95
Region IV-A (CALABARZON),BATANGAS,Female,Hearing Disability,Mild,17643,1516865.0,1163
