Region,Province,RegCode_New,ProvCode_New,Disability,Sex,Status,Household Population 5 Years Old and Over with Functional Difficulty,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Female,Moderate,219,11,21,23,164
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Hearing Disability,Female,Severe,70,13,20,19,18
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Both Sexes,All,6042,178,256,854,4754
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Both Sexes,Mild,4893,104,174,685,3930
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Both Sexes,Moderate,798,41,43,127,587
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Both Sexes,Severe,351,33,39,42,237
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Male,All,2212,106,134,444,1528
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Male,Mild,1776,63,93,346,1274
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Male,Moderate,313,22,23,81,187
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Male,Severe,123,21,18,17,67
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Female,All,3830,72,122,410,3226
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Female,Mild,3117,41,81,339,2656
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Female,Moderate,485,19,20,46,400
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Mobility Disability,Female,Severe,228,12,21,25,170
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Cognitive Disability,Both Sexes,All,3078,307,376,525,1870
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Cognitive Disability,Both Sexes,Mild,2543,203,274,452,1614
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Cognitive Disability,Both Sexes,Moderate,381,74,64,43,200
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Cognitive Disability,Both Sexes,Severe,154,30,38,30,56
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Cognitive Disability,Male,All,1189,194,202,205,588
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Cognitive Disability,Male,Mild,970,124,150,170,526
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Cognitive Disability,Male,Moderate,143,47,32,14,50
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Cognitive Disability,Male,Severe,76,23,20,21,12
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Cognitive Disability,Female,All,1889,113,174,320,1282
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Cognitive Disability,Female,Mild,1573,79,124,282,1088
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Cognitive Disability,Female,Moderate,238,27,32,29,150
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Cognitive Disability,Female,Severe,78,7,18,9,44
National Capital Region (NCR),"NCR, SECOND DISTRICT (NOT A PROVINCE)",PH130000000,PH1380500000,Self-Care Disability,Both Sexes,All,2082,298,194,271,1319
