Region,Province,RegCode_New,ProvCode_New,Disability,Sex,Status,Household Population 5 Years Old and Over with Functional Difficulty,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Both Sexes,Moderate,28,1,1,0,26
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Both Sexes,Severe,35,4,2,2,27
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Male,All,70,6,3,7,54
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Male,Mild,43,3,1,7,32
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Male,Moderate,15,1,1,0,13
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Male,Severe,12,2,1,0,9
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Female,All,85,4,5,5,71
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Female,Mild,49,2,4,3,40
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Female,Moderate,13,0,0,0,13
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Female,Severe,23,2,1,2,18
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Both Sexes,All,162,25,28,26,83
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Both Sexes,Mild,90,9,15,19,47
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Both Sexes,Moderate,46,10,8,5,23
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Both Sexes,Severe,26,6,5,2,13
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Male,All,77,16,15,15,31
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Male,Mild,43,7,8,11,17
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Male,Moderate,23,6,5,3,9
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Male,Severe,11,3,2,1,5
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Female,All,85,9,13,11,52
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Female,Mild,47,2,7,8,30
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Female,Moderate,23,4,3,2,14
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Female,Severe,15,3,3,1,8
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Visual Disability,Both Sexes,All,1141,26,49,292,774
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Visual Disability,Both Sexes,Mild,1020,19,41,275,685
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Visual Disability,Both Sexes,Moderate,101,4,5,15,77
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Visual Disability,Both Sexes,Severe,20,3,3,2,12
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Visual Disability,Male,All,521,13,21,148,339
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Visual Disability,Male,Mild,459,9,15,138,297
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Visual Disability,Male,Moderate,52,2,3,9,38
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Visual Disability,Male,Severe,10,2,3,1,4
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Visual Disability,Female,All,620,13,28,144,435
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Visual Disability,Female,Mild,561,10,26,137,388
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Visual Disability,Female,Moderate,49,2,2,6,39
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Visual Disability,Female,Severe,10,1,0,1,8
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Hearing Disability,Both Sexes,All,685,13,22,97,553
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Hearing Disability,Both Sexes,Mild,597,8,18,89,482
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Hearing Disability,Both Sexes,Moderate,70,2,1,3,64
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Hearing Disability,Both Sexes,Severe,18,3,3,5,7
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Hearing Disability,Male,All,359,7,15,54,283
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Hearing Disability,Male,Mild,306,4,11,50,241
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Hearing Disability,Male,Moderate,40,2,1,2,35
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Hearing Disability,Male,Severe,13,1,3,2,7
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Hearing Disability,Female,All,326,6,7,43,270
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Hearing Disability,Female,Mild,291,4,7,39,241
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Hearing Disability,Female,Moderate,30,0,0,1,29
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Hearing Disability,Female,Severe,5,2,0,3,0
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Mobility Disability,Both Sexes,All,777,23,25,129,600
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Mobility Disability,Both Sexes,Mild,581,14,20,101,446
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Mobility Disability,Both Sexes,Moderate,131,4,2,22,103
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Mobility Disability,Both Sexes,Severe,65,5,3,6,51
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Mobility Disability,Male,All,365,11,13,80,261
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Mobility Disability,Male,Mild,272,5,9,64,194
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Mobility Disability,Male,Moderate,62,1,2,13,46
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Mobility Disability,Male,Severe,31,5,2,3,21
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Mobility Disability,Female,All,412,12,12,49,339
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Mobility Disability,Female,Mild,309,9,11,37,252
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Mobility Disability,Female,Moderate,69,3,0,9,57
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Mobility Disability,Female,Severe,34,0,1,3,30
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Cognitive Disability,Both Sexes,All,587,27,40,127,393
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Cognitive Disability,Both Sexes,Mild,497,14,33,107,343
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Cognitive Disability,Both Sexes,Moderate,65,6,4,11,44
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Cognitive Disability,Both Sexes,Severe,25,7,3,9,6
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Cognitive Disability,Male,All,237,16,17,51,153
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Cognitive Disability,Male,Mild,196,8,12,43,133
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Cognitive Disability,Male,Moderate,28,3,3,5,17
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Cognitive Disability,Male,Severe,13,5,2,3,3
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Cognitive Disability,Female,All,350,11,23,76,240
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Cognitive Disability,Female,Mild,301,6,21,64,210
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Cognitive Disability,Female,Moderate,37,3,1,6,27
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Cognitive Disability,Female,Severe,12,2,1,6,3
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Both Sexes,All,254,32,18,28,176
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Both Sexes,Mild,111,14,9,15,73
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Both Sexes,Moderate,64,6,3,8,47
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Both Sexes,Severe,79,12,6,5,56
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Male,All,115,19,9,20,67
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Male,Mild,55,9,5,11,30
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Male,Moderate,28,3,0,6,19
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Male,Severe,32,7,4,3,18
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Female,All,139,13,9,8,109
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Female,Mild,56,5,4,4,43
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Female,Moderate,36,3,3,2,28
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Self-Care Disability,Female,Severe,47,5,2,2,38
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Both Sexes,All,199,35,28,36,100
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Both Sexes,Mild,121,16,17,19,69
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Both Sexes,Moderate,45,11,5,7,22
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Both Sexes,Severe,33,8,6,10,9
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Male,All,99,22,15,18,44
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Male,Mild,63,10,8,10,35
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Male,Moderate,21,7,4,4,6
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Male,Severe,15,5,3,4,3
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Female,All,100,13,13,18,56
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Female,Mild,58,6,9,9,34
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Female,Moderate,24,4,1,3,16
Region VII (Central Visayas),SIQUIJOR,PH070000000,PH0706100000,Communication Disability,Female,Severe,18,3,3,6,6
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Both Sexes,All,2039,31,86,717,1205
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Both Sexes,Mild,1850,19,77,685,1069
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Both Sexes,Moderate,179,12,7,28,132
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Both Sexes,Severe,10,0,2,4,4
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Male,All,912,19,29,325,539
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Male,Mild,815,11,25,307,472
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Male,Moderate,93,8,4,16,65
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Male,Severe,4,0,0,2,2
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Female,All,1127,12,57,392,666
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Female,Mild,1035,8,52,378,597
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Female,Moderate,86,4,3,12,67
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Female,Severe,6,0,2,2,2
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Both Sexes,All,677,30,45,118,484
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Both Sexes,Mild,585,22,36,108,419
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Both Sexes,Moderate,73,6,3,6,58
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Both Sexes,Severe,19,2,6,4,7
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Male,All,331,18,23,54,236
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Male,Mild,277,13,19,51,194
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Male,Moderate,45,5,1,2,37
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Male,Severe,9,0,3,1,5
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Female,All,346,12,22,64,248
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Female,Mild,308,9,17,57,225
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Female,Moderate,28,1,2,4,21
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Female,Severe,10,2,3,3,2
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Both Sexes,All,886,15,21,204,646
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Both Sexes,Mild,770,9,16,198,547
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Both Sexes,Moderate,90,3,2,3,82
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Both Sexes,Severe,26,3,3,3,17
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Male,All,429,9,12,109,299
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Male,Mild,372,6,10,106,250
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Male,Moderate,49,3,1,2,43
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Male,Severe,8,0,1,1,6
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Female,All,457,6,9,95,347
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Female,Mild,398,3,6,92,297
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Female,Moderate,41,0,1,1,39
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Female,Severe,18,3,2,2,11
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Both Sexes,All,399,12,39,96,252
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Both Sexes,Mild,349,6,34,89,220
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Both Sexes,Moderate,36,4,2,4,26
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Both Sexes,Severe,14,2,3,3,6
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Male,All,168,8,13,41,106
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Male,Mild,147,5,11,39,92
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Male,Moderate,16,2,2,1,11
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Male,Severe,5,1,0,1,3
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Female,All,231,4,26,55,146
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Female,Mild,202,1,23,50,128
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Female,Moderate,20,2,0,3,15
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Female,Severe,9,1,3,2,3
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Both Sexes,All,142,12,10,14,106
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Both Sexes,Mild,99,5,7,10,77
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Both Sexes,Moderate,21,2,0,2,17
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Both Sexes,Severe,22,5,3,2,12
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Male,All,66,7,3,6,50
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Male,Mild,47,4,1,4,38
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Male,Moderate,13,2,0,2,9
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Male,Severe,6,1,2,0,3
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Female,All,76,5,7,8,56
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Female,Mild,52,1,6,6,39
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Female,Moderate,8,0,0,0,8
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Female,Severe,16,4,1,2,9
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Communication Disability,Both Sexes,All,143,21,30,18,74
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Communication Disability,Both Sexes,Mild,90,6,14,11,59
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Communication Disability,Both Sexes,Moderate,25,7,5,4,9
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Communication Disability,Both Sexes,Severe,28,8,11,3,6
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Communication Disability,Male,All,72,12,14,9,37
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Communication Disability,Male,Mild,44,4,5,7,28
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Communication Disability,Male,Moderate,14,5,3,0,6
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Communication Disability,Male,Severe,14,3,6,2,3
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Communication Disability,Female,All,71,9,16,9,37
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Communication Disability,Female,Mild,46,2,9,4,31
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Communication Disability,Female,Moderate,11,2,2,4,3
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Communication Disability,Female,Severe,14,5,5,1,3
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Both Sexes,All,1170,25,57,343,745
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Both Sexes,Mild,1046,19,54,324,649
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Both Sexes,Moderate,119,6,3,19,91
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Both Sexes,Severe,5,0,0,0,5
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Male,All,519,9,21,142,347
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Male,Mild,455,6,19,132,298
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Male,Moderate,62,3,2,10,47
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Male,Severe,2,0,0,0,2
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Female,All,651,16,36,201,398
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Female,Mild,591,13,35,192,351
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Female,Moderate,57,3,1,9,44
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Visual Disability,Female,Severe,3,0,0,0,3
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Both Sexes,All,421,12,23,59,327
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Both Sexes,Mild,358,8,18,56,276
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Both Sexes,Moderate,60,3,4,3,50
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Both Sexes,Severe,3,1,1,0,1
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Male,All,220,9,16,28,167
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Male,Mild,185,6,12,25,142
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Male,Moderate,34,2,4,3,25
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Male,Severe,1,1,0,0,0
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Female,All,201,3,7,31,160
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Female,Mild,173,2,6,31,134
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Female,Moderate,26,1,0,0,25
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Hearing Disability,Female,Severe,2,0,1,0,1
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Both Sexes,All,375,13,17,68,277
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Both Sexes,Mild,270,6,9,43,212
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Both Sexes,Moderate,71,3,4,19,45
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Both Sexes,Severe,34,4,4,6,20
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Male,All,170,8,10,42,110
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Male,Mild,116,4,6,24,82
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Male,Moderate,36,1,2,13,20
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Male,Severe,18,3,2,5,8
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Female,All,205,5,7,26,167
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Female,Mild,154,2,3,19,130
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Female,Moderate,35,2,2,6,25
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Mobility Disability,Female,Severe,16,1,2,1,12
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Both Sexes,All,288,10,25,53,200
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Both Sexes,Mild,233,2,15,46,170
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Both Sexes,Moderate,47,7,7,4,29
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Both Sexes,Severe,8,1,3,3,1
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Male,All,121,6,14,22,79
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Male,Mild,93,2,6,16,69
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Male,Moderate,23,3,7,3,10
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Male,Severe,5,1,1,3,0
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Female,All,167,4,11,31,121
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Female,Mild,140,0,9,30,101
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Female,Moderate,24,4,0,1,19
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Cognitive Disability,Female,Severe,3,0,2,0,1
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Both Sexes,All,114,12,11,14,77
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Both Sexes,Mild,55,3,4,7,41
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Both Sexes,Moderate,31,4,3,5,19
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Both Sexes,Severe,28,5,4,2,17
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Male,All,55,9,7,11,28
Region VIII (Eastern Visayas),EASTERN SAMAR,PH080000000,PH0802600000,Self-Care Disability,Male,Mild,23,3,3,4,13
