Disability,Region,Status,RegCode_New,Province,Household Population 5 Years Old and Over with Functional Difficulty,Province_pcode,Population,Person affected by disability per 100k,scale affected
Cognitive Disability,REGION XI (DAVAO REGION),Mild,PH110000000,DAVAO ORIENTAL,8002,PH112500000,600531,1333.0,3.1248301494138593
Cognitive Disability,REGION XI (DAVAO REGION),Moderate,PH110000000,COMPOSTELA VALLEY,1950,PH118200000,774102,252.0,2.401400540781544
Cognitive Disability,REGION XI (DAVAO REGION),Moderate,PH110000000,DAVAO DEL NORTE,1710,PH112300000,1056457,162.0,2.2095150145426308
Cognitive Disability,REGION XI (DAVAO REGION),Moderate,PH110000000,DAVAO DEL SUR,3165,PH112400000,2520852,126.0,2.100370545117563
Cognitive Disability,REGION XI (DAVAO REGION),Moderate,PH110000000,DAVAO OCCIDENTAL,634,PH118600000,338925,188.0,2.27415784926368
Cognitive Disability,REGION XI (DAVAO REGION),Moderate,PH110000000,DAVAO ORIENTAL,995,PH112500000,600531,166.0,2.220108088040055
Cognitive Disability,REGION XI (DAVAO REGION),Severe,PH110000000,COMPOSTELA VALLEY,510,PH118200000,774102,66.0,1.8195439355418688
Cognitive Disability,REGION XI (DAVAO REGION),Severe,PH110000000,DAVAO DEL NORTE,570,PH112300000,1056457,54.0,1.7323937598229686
Cognitive Disability,REGION XI (DAVAO REGION),Severe,PH110000000,DAVAO DEL SUR,1160,PH112400000,2520852,47.0,1.6720978579357175
Cognitive Disability,REGION XI (DAVAO REGION),Severe,PH110000000,DAVAO OCCIDENTAL,138,PH118600000,338925,41.0,1.6127838567197355
Cognitive Disability,REGION XI (DAVAO REGION),Severe,PH110000000,DAVAO ORIENTAL,298,PH112500000,600531,50.0,1.6989700043360187
Cognitive Disability,REGION XII (SOCCSKSARGEN),Mild,PH120000000,COTABATO (NORTH COTABATO),16672,PH124700000,1527149,1092.0,3.0382226383687185
Cognitive Disability,REGION XII (SOCCSKSARGEN),Mild,PH120000000,SARANGANI,52909,PH128000000,583791,9064.0,3.9573198968553407
Cognitive Disability,REGION XII (SOCCSKSARGEN),Mild,PH120000000,SOUTH COTABATO,17759,PH126300000,1644256,1081.0,3.03382569395331
Cognitive Disability,REGION XII (SOCCSKSARGEN),Mild,PH120000000,SULTAN KUDARAT,14650,PH126500000,855241,1713.0,3.2337573629655103
Cognitive Disability,REGION XII (SOCCSKSARGEN),Moderate,PH120000000,COTABATO (NORTH COTABATO),2176,PH124700000,1527149,143.0,2.155336037465062
Cognitive Disability,REGION XII (SOCCSKSARGEN),Moderate,PH120000000,SARANGANI,6330,PH128000000,583791,1085.0,3.0354297381845483
Cognitive Disability,REGION XII (SOCCSKSARGEN),Moderate,PH120000000,SOUTH COTABATO,2378,PH126300000,1644256,145.0,2.161368002234975
Cognitive Disability,REGION XII (SOCCSKSARGEN),Moderate,PH120000000,SULTAN KUDARAT,1157,PH126500000,855241,136.0,2.1335389083702174
Cognitive Disability,REGION XII (SOCCSKSARGEN),Severe,PH120000000,COTABATO (NORTH COTABATO),714,PH124700000,1527149,47.0,1.6720978579357175
Cognitive Disability,REGION XII (SOCCSKSARGEN),Severe,PH120000000,SARANGANI,1989,PH128000000,583791,341.0,2.5327543789924976
Cognitive Disability,REGION XII (SOCCSKSARGEN),Severe,PH120000000,SOUTH COTABATO,888,PH126300000,1644256,55.0,1.7403626894942439
Cognitive Disability,REGION XII (SOCCSKSARGEN),Severe,PH120000000,SULTAN KUDARAT,269,PH126500000,855241,32.0,1.505149978319906
Cognitive Disability,Region I (Ilocos Region),Mild,PH010000000,ILOCOS NORTE,6564,PH012800000,613421,1071.0,3.029789470831856
Cognitive Disability,Region I (Ilocos Region),Mild,PH010000000,ILOCOS SUR,9796,PH012900000,715810,1369.0,3.13640344813399
Cognitive Disability,Region I (Ilocos Region),Mild,PH010000000,LA UNION,9086,PH013300000,828194,1098.0,3.040602340114073
Cognitive Disability,Region I (Ilocos Region),Mild,PH010000000,PANGASINAN,31175,PH015500000,3113382,1002.0,3.0008677215312267
Cognitive Disability,Region I (Ilocos Region),Moderate,PH010000000,ILOCOS NORTE,1109,PH012800000,613421,181.0,2.2576785748691846
Cognitive Disability,Region I (Ilocos Region),Moderate,PH010000000,ILOCOS SUR,1568,PH012900000,715810,220.0,2.342422680822206
Cognitive Disability,Region I (Ilocos Region),Moderate,PH010000000,LA UNION,1545,PH013300000,828194,187.0,2.271841606536499
Cognitive Disability,Region I (Ilocos Region),Moderate,PH010000000,PANGASINAN,4781,PH015500000,3113382,154.0,2.187520720836463
Cognitive Disability,Region I (Ilocos Region),Severe,PH010000000,ILOCOS NORTE,412,PH012800000,613421,68.0,1.8325089127062364
Cognitive Disability,Region I (Ilocos Region),Severe,PH010000000,ILOCOS SUR,532,PH012900000,715810,75.0,1.8750612633917
Cognitive Disability,Region I (Ilocos Region),Severe,PH010000000,LA UNION,644,PH013300000,828194,78.0,1.8920946026904804
Cognitive Disability,Region I (Ilocos Region),Severe,PH010000000,PANGASINAN,1806,PH015500000,3113382,59.0,1.7708520116421442
Cognitive Disability,Region II (Cagayan Valley),Mild,PH020000000,BATANES,204,PH020900000,17874,1142.0,3.0576661039098294
Cognitive Disability,Region II (Cagayan Valley),Mild,PH020000000,CAGAYAN,18052,PH021500000,1273322,1418.0,3.151676230847048
Cognitive Disability,Region II (Cagayan Valley),Mild,PH020000000,ISABELA,24111,PH023100000,1685739,1431.0,3.1556396337597765
Cognitive Disability,Region II (Cagayan Valley),Mild,PH020000000,NUEVA VIZCAYA,7214,PH025000000,482894,1494.0,3.1743505974793798
Cognitive Disability,Region II (Cagayan Valley),Mild,PH020000000,QUIRINO,2517,PH025700000,197917,1272.0,3.104487111312395
Cognitive Disability,Region II (Cagayan Valley),Moderate,PH020000000,BATANES,45,PH020900000,17874,252.0,2.401400540781544
Cognitive Disability,Region II (Cagayan Valley),Moderate,PH020000000,CAGAYAN,2459,PH021500000,1273322,194.0,2.287801729930226
Cognitive Disability,Region II (Cagayan Valley),Moderate,PH020000000,ISABELA,3036,PH023100000,1685739,181.0,2.2576785748691846
Cognitive Disability,Region II (Cagayan Valley),Moderate,PH020000000,NUEVA VIZCAYA,1103,PH025000000,482894,229.0,2.359835482339888
Cognitive Disability,Region II (Cagayan Valley),Moderate,PH020000000,QUIRINO,355,PH025700000,197917,180.0,2.255272505103306
Cognitive Disability,Region II (Cagayan Valley),Severe,PH020000000,BATANES,14,PH020900000,17874,79.0,1.8976270912904414
Cognitive Disability,Region II (Cagayan Valley),Severe,PH020000000,CAGAYAN,852,PH021500000,1273322,67.0,1.8260748027008264
Cognitive Disability,Region II (Cagayan Valley),Severe,PH020000000,ISABELA,966,PH023100000,1685739,58.0,1.7634279935629373
Cognitive Disability,Region II (Cagayan Valley),Severe,PH020000000,NUEVA VIZCAYA,302,PH025000000,482894,63.0,1.7993405494535817
Cognitive Disability,Region II (Cagayan Valley),Severe,PH020000000,QUIRINO,85,PH025700000,197917,43.0,1.6334684555795864
Cognitive Disability,Region III (Central Luzon),Mild,PH030000000,AURORA,2223,PH037700000,227530,978.0,2.9903388547876015
Cognitive Disability,Region III (Central Luzon),Mild,PH030000000,BATAAN,6794,PH030800000,836076,813.0,2.910090545594068
