Region,Province,RegCode_New,ProvCode_New,Disability,Sex,Status,id,Household Population 5 Years Old and Over with Functional Difficulty,Age: 5-19,Age: 20-34,Age: 35–54,Age: 55-80+
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Self-Care Disability,Both Sexes,Moderate,PH150700000,158,19,10,33,96
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Self-Care Disability,Both Sexes,Severe,PH150700000,105,39,19,8,39
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Self-Care Disability,Female,All,PH150700000,747,89,58,103,497
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Self-Care Disability,Female,Mild,PH150700000,606,65,45,81,415
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Self-Care Disability,Female,Moderate,PH150700000,83,5,4,18,56
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Self-Care Disability,Female,Severe,PH150700000,58,19,9,4,26
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Self-Care Disability,Male,All,PH150700000,630,108,72,105,345
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Self-Care Disability,Male,Mild,PH150700000,508,74,56,86,292
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Self-Care Disability,Male,Moderate,PH150700000,75,14,6,15,40
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Self-Care Disability,Male,Severe,PH150700000,47,20,10,4,13
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Visual Disability,Both Sexes,All,PH150700000,7490,298,380,2386,4426
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Visual Disability,Both Sexes,Mild,PH150700000,6913,194,282,2285,4152
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Visual Disability,Both Sexes,Moderate,PH150700000,301,10,11,46,234
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Visual Disability,Both Sexes,Severe,PH150700000,276,94,87,55,40
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Visual Disability,Female,All,PH150700000,3985,141,196,1232,2416
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Visual Disability,Female,Mild,PH150700000,3683,87,147,1179,2270
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Visual Disability,Female,Moderate,PH150700000,156,2,5,21,128
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Visual Disability,Female,Severe,PH150700000,146,52,44,32,18
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Visual Disability,Male,All,PH150700000,3505,157,184,1154,2010
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Visual Disability,Male,Mild,PH150700000,3230,107,135,1106,1882
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Visual Disability,Male,Moderate,PH150700000,145,8,6,25,106
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),BASILAN,PH150000000,PH1900700000,Visual Disability,Male,Severe,PH150700000,130,42,43,23,22
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Cognitive Disability,Both Sexes,All,PH129800000,1662,172,100,267,1123
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Cognitive Disability,Both Sexes,Mild,PH129800000,1464,138,83,232,1011
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Cognitive Disability,Both Sexes,Moderate,PH129800000,163,24,11,26,102
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Cognitive Disability,Both Sexes,Severe,PH129800000,35,10,6,9,10
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Cognitive Disability,Female,All,PH129800000,919,81,47,146,645
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),COTABATO CITY (NOT A PROVINCE),PH150000000,PH1999900000,Cognitive Disability,Female,Mild,PH129800000,814,69,39,129,577
